"","State","County","Flyway","Flock type","Species","Avian influenza subtype*","Confirmation date","Flock size"
"1","Iowa","Wright","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Jun 17, 2015","1,000,000"
"2","Iowa","Sioux","Mississippi","Backyard","Mixed Game Fowl","EA/AM-H5N2","Jun 9, 2015","2,500"
"3","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 5, 2015","44,000"
"4","Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 5, 2015","39,000"
"5","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 4, 2015","42,200"
"6","Minnesota","Renville","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","Jun 4, 2015","415,000"
"7","Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 4, 2015","24,800"
"8","Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 4, 2015","19,600"
"9","Nebraska","Dixon","Central","Backyard","Mixed Poultry","EA/AM-H5N2","Jun 4, 2015","pending"
"10","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 3, 2015","37,000"
"11","Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 3, 2015","26,200"
"12","Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 3, 2015","17,200"
"13","Iowa","Clay","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","Jun 3, 2015","1,115,700"
"14","Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 3, 2015","15,900"
"15","Iowa","Calhoun","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 2, 2015","13,400"
"16","Minnesota","Blue Earth","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 2, 2015","19,400"
"17","Iowa","Wright","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","Jun 1, 2015","434,800"
"18","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 1, 2015","pending"
"19","Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 1, 2015","47,800"
"20","South Dakota","Moody","Central","Commercial","Turkeys","EA/AM-H5N2","Jun 1, 2015","52,000"
"21","Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Jun 1, 2015","18,300"
"22","Minnesota","Renville","Mississippi","Commercial","Turkey","EA/AM-H5N2","May 29, 2015","29,300"
"23","Minnesota","Meeker","Mississippi","Commercial","Turkey","EA/AM-H5N2","May 29, 2015","4,900"
"24","Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 29, 2015","17,000"
"25","Minnesota","Brown","Mississippi","Commercial","Turkey","EA/AM-H5N2","May 29, 2015","7,300"
"26","Iowa","Wright","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 28, 2015","991,500"
"27","Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 28, 2015","48,900"
"28","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 28, 2015","50,800"
"29","Iowa","Webster","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 27, 2015","pending"
"30","Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 27, 2015","95,300"
"31","Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 27, 2015","46,800"
"32","Iowa","Adair","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 27, 2015","974,500"
"33","Iowa","Pocahontas","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 26, 2015","20,700"
"34","Nebraska","Dixon","Central","Commercial","Pullet Chickens","EA/AM-H5N2","May 26, 2015","293,200"
"35","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 21, 2015","100,000"
"36","Iowa","Calhoun","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 21, 2015","14,400"
"37","Iowa","Sioux","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","May 20, 2015","pending"
"38","Iowa","Sioux","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 20, 2015","99,400"
"39","Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 20, 2015","149,100"
"40","Iowa","Sioux","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","May 19, 2015","pending"
"41","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 19, 2015","28,400"
"42","Minnesota","Renville","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 19, 2015","2,045,600"
"43","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 19, 2015","42,600"
"44","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 19, 2015","43,400"
"45","South Dakota","Moody","Central","Commercial","Layer Chickens","EA/AM-H5N2","May 18, 2015","642,700"
"46","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 18, 2015","138,800"
"47","Iowa","Sioux","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 15, 2015","272,300"
"48","Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 15, 2015","240,000"
"49","Iowa","Plymouth","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 15, 2015","100,000"
"50","Nebraska","Dixon","Central","Commercial","Layer Chickens","EA/AM-H5N2","May 15, 2015","1,709,400"
"51","Iowa","Buena Vista","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 15, 2015","903,700"
"52","Iowa","Lyon","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 14, 2015","390,000"
"53","South Dakota","Yankton","Central","Commercial","Turkeys","EA/AM-H5N2","May 13, 2015","70,600"
"54","South Dakota","Hutchinson","Central","Commercial","Turkeys","EA/AM-H5N2","May 13, 2015","70,600"
"55","Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 13, 2015","46,500"
"56","Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 13, 2015","26,800"
"57","Iowa","Wright","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 12, 2015","966,600"
"58","Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 12, 2015","37,900"
"59","Iowa","Osceola","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","May 12, 2015","pending"
"60","Nebraska","Dixon","Central","Commercial","Chickens","EA/AM-H5N2","May 12, 2015","1,791,500"
"61","Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","65,600"
"62","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","35,200"
"63","Iowa","Palo Alto","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","38,400"
"64","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","22,400"
"65","Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","42,000"
"66","Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","35,400"
"67","Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","33,900"
"68","Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","33,300"
"69","Indiana","Whitley","Mississippi","Backyard","Mixed Poultry","EA -H5N8","May 10, 2015","pending"
"70","Iowa","Wright","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 8, 2015","1,106,500"
"71","Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 8, 2015","581,300"
